id,unit_number,unit_size,unit_balcony_size,unit_current_price,unit_construction_year,unit_scan_date,unit_status_id,project_id,unit_category_id,unit_type_id,unit_url,unit_rooms,unit_floor,sqrm_price
87,Korter 15,65.1,4.9,170900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-15/,3,5,2625.19
88,Korter 16,45.7,4.9,0,2020,2021-03-05,2,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-16/,2,5,0
89,Korter 17,44.3,5.5,0,2020,2021-03-05,2,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-17/,2,6,0
90,Korter 18,66.3,4.9,176900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-18/,3,6,2668.17
91,Korter 19,84.3,4.3,205900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-19/,4,6,2442.47
92,Korter 20,45.1,4.3,126900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-20/,2,6,2813.75
93,Korter 21,46.4,4.4,0,2020,2021-03-05,2,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-21/,2,6,0
94,Korter 22,45.9,4.5,0,2020,2021-03-05,2,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-22/,2,6,0
95,Korter 23,82.6,4.3,204900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-23/,4,6,2480.63
96,Korter 24,65.1,4.9,173900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-24/,3,6,2671.27
97,Korter 25,45.7,4.9,0,2020,2021-03-05,3,2,1,1,#,2,6,0
98,Korter 26,44.3,5.5,0,2020,2021-03-05,2,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-26/,2,7,0
99,Korter 27,66.3,4.9,179900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-27/,3,7,2713.42
100,Korter 28,84.3,4.3,208900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-28/,4,7,2478.05
101,Korter 29,45.1,4.3,0,2020,2021-03-05,2,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-29/,2,7,0
102,Korter 30,46.4,4.4,0,2020,2021-03-05,2,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-30/,2,7,0
103,Korter 31,45.9,4.5,128900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-31/,2,7,2808.28
104,Korter 32,82.6,4.3,207900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-32/,4,7,2516.95
105,Korter 33,65.1,4.9,176900,2020,2021-03-05,1,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-33/,3,7,2717.36
106,Korter 34,45.7,4.9,0,2020,2021-03-05,2,2,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191a/korter-34/,2,7,0
107,Korter 1,69.8,4.8,0,2020,2021-03-05,3,3,1,1,#,3,2,0
108,Korter 2,66.4,4.8,0,2020,2021-03-05,3,3,1,1,#,3,2,0
109,Korter 3,53.3,4.8,0,2020,2021-03-05,3,3,1,1,#,2,2,0
110,Korter 4,53.5,4.8,0,2020,2021-03-05,2,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-4/,2,2,0
111,Korter 5,77.7,40,0,2020,2021-03-05,3,3,1,1,#,4,2,0
112,Korter 6,41.5,4.5,0,2020,2021-03-05,3,3,1,1,#,2,2,0
113,Korter 7,79.3,4.8,0,2020,2021-03-05,3,3,1,1,#,3,3,0
114,Korter 8,66.4,4.8,0,2020,2021-03-05,2,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-8/,3,3,0
115,Korter 9,53.3,4.8,0,2020,2021-03-05,3,3,1,1,#,2,3,0
116,Korter 10,53.5,4.8,0,2020,2021-03-05,3,3,1,1,#,2,3,0
117,Korter 11,77.7,4.8,199900,2020,2021-03-05,1,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-11/,4,3,2572.72
118,Korter 12,41.5,4.5,0,2020,2021-03-05,3,3,1,1,#,2,3,0
119,Korter 13,79.3,4.8,190900,2020,2021-03-05,1,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-13/,3,4,2407.31
120,Korter 14,66.4,4.8,0,2020,2021-03-05,3,3,1,1,#,3,4,0
